,,,,,,,,,,,,,,,,,,,,,,,,,,,
,번호,업체명,전화번호,홈페이지,이메일,팩스,참고사항,,,,,,,,,,,,,,,,,,,,
,1,소모품 쇼핑몰,,,,,,,,,,,,,,,,,,,,,,,,,
,2,KMMALL,1577-4585,https://kmb2b.co.kr/,help@kmmall.net,041-592-7766,5대 쇼핑몰이 어디인지? ,,,,,,,,,,,,,,,,,,,,
,3,한의사몰,02-3662-0522,https://hanisamall.kr/,mall@haancare.kr,02-3662-0526,,,,,,,,,,,,,,,,,,,,,
,4,감초몰,,,,,,,,,,,,,,,,,,,,,,,,,
,5,대중메디팜,02-474-1208,https://12oneshop.com/,,02-483-9860,,,,,,,,,,,,,,,,,,,,,
,6,아콤몰,02-557-3966,https://www.akommall.com/,,02-6213-9291,,,,,,,,,,,,,,,,,,,,,
,7,하니메드,02-586-5211,https://hanimed.net/,,02-583-8584,,,,,,,,,,,,,,,,,,,,,
,8,한의나라,02-2662-2321,https://www.haninara.co.kr/,leesb88@gmail.com,02-2664-8007,,,,,,,,,,,,,,,,,,,,,
,9,오엠디샵,070-4686-4287,https://www.omdshop.com/,,,,,,,,,,,,,,,,,,,,,,,
,10,안진팜메디,02-474-1208,https://www.anjinmed.com/,cs@anjinmed.com,02-483-9860,,,,,,,,,,,,,,,,,,,,,
,11,주사기닷컴,,https://www.jusagi.com/,help@jusagi.com,02-6008-8768,,,,,,,,,,,,,,,,,,,,,
,12,한퓨어몰,1544-2755,https://hanpuremall.co.kr/,help@hanpure.co.kr,,,,,,,,,,,,,,,,,,,,,,
,13,엘앤씨메디텍,010-5860-8852,http://www.lncbio.co.kr,lncmedi@naver.com,031-776-2976,영업팀장 곽병구 / 의약품 도매업 / 쉼터공구게시판,,,,,,,,,,,,,,,,,,,,
,14,침스몰,,https://chimsmall.com/,,,,,,,,,,,,,,,,,,,,,,,
,15,제일파프총판 수아름팜,010-2884-2506 / 031-755-1075,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,뜸,,,,,,,,,,,,,,,,,,,,,,,,,
,25,유케어인터내셔널 Inc,010 3270 9085,https://ucare.kr/,,,무연 백리향 뜸기구 ,,,,,,,,,,,,,,,,,,,,
,26,,,,,,,,,,,,,,,,,,,,,,,,,,
,27, 침,,,,,,,,,,,,,,,,,,,,,,,,,
