,,ㄱㄴㄷ순,,,,,,,,,,,,,,,,,,,,,,,,,
,번호,업체명,전화번호,홈페이지,이메일,팩스,참고사항,참고사항2,영업여부,공동이용 여부,인증 원외탕전실 여부,,,,,,,,,,,,,,,,
,1,코끼리 원외탕전실 ,1661 - 4975,https://www.ajpharmacopuncture.co.kr/ ,ajpharmaco@ajpharmacopuncture.co.kr,-,안중한의원,코리끼 원외탕전실과 같은 곳인지 확인 필요,,,,,,,,,,,,,,,,,,,
,2,천인지원외탕전원,02-853-1275,www.trinityherb.co.kr ,trinityherb31@naver.com,-,천인지한의원,,,,,,,,,,,,,,,,,,,,
,3,부산시한의사회산하원외탕전실,051-803-5000,https://www.bkompa.kr/,-,051-715-6710,더브레인한의원,,?,,,,,,,,,,,,,,,,,,
,4,카멜리아탕전원,051-743-7525,-,-,-,카멜리아한의원,홈페이지 없음,,,,,,,,,,,,,,,,,,,
,5,은백원외탕전 (구 약수 원외탕전원),051) 784-8297,https://www.yaksuclinic.co.kr/ ,ykw7685@naver.com,-,약수한의원,,,,,,,,,,,,,,,,,,,,
,6,3s(박달나무)한의원  원외탕전실,,,,-,박달나무한의원,약침은 없는듯??,,,,,,,,,,,,,,,,,,,
,7,허브매직원외탕전실 (거북이원외탕전),010‑2264‑1885,herbmagic.co.kr,yechundeak@naver.com,-,거북이한의원,,,,,,,,,,,,,,,,,,,,
,8,건보당한의원 원외탕전실(지엠원외탕전),042‑257‑6400,,,-,건보당한의원,홈페이지 없음,,,,,,,,,,,,,,,,,,,
,9,동서한의원 원외탕전실,031-922-5116,http://www.ourhani.co.kr/korean/main.php,nff@hanmail.net,031-527-5127,동서한의원,,,,,,,,,,,,,,,,,,,,
,10,모커리 한방병원 원외탕전실,,,,-,모커리한방병원,,,,,,,,,,,,,,,,,,,,
,11,성남약침원외탕전실,031-620-4500,https://herb.jaseng.co.kr/,,031-620-4549,자생한방병원,,,,,,,,,,,,,,,,,,,,
,12,한의N원외탕전,02-353-7668,https://www.hanen.co.kr/member/join_agreement.php,hanen19wt@gmail.com,0504-002-1411,본경희한의원,,,,,,,,,,,,,,,,,,,,
,13,동편부부한의원 원외탕전실,,,,-,동편부부한의원,명쾌한방약침 // 원외탕전 이름은 검색이 안됨,,,,,,,,,,,,,,,,,,,
,14,남상천한의원 원외탕전실,031-229-3102 ,https://www.yakchim.net/,nscomd583@naver.com,031-229-3103,남상천한의원,,,,,,,,,,,,,,,,,,,,
,15,풀뿌리한의원 원외탕전실,031-877-3988,https://newmaterial.co.kr/ ,frontier9@naver.com,031-875-3988,풀뿌리한의원,,,,,,,,,,,,,,,,,,,,
,16,자황한방병원 원외탕전실,031‑532‑8112,www.jh-pharm.co.kr,cs@jahwang.co.kr,031-601-6399,자황한방병원,,,,,,,,,,,,,,,,,,,,
,17,케이한방병원 원외탕전실,053-313-3375,https://www.xn--k--4w1jq45atmau3dn52a2qi.com/,k-hanbang@naver.com,053-314-3375,케이한방병원,약침이 아니고 한약인듯?,,,,,,,,,,,,,,,,,,,
,18,대한표준원외탕전,010-2741-611,https://ksmedi.com/,,0504-157-6117,김포미즈한방병원,,,,,,,,,,,,,,,,,,,,
,19,기린한의원 부설 원주 원외탕전실,033) 744-9304,https://www.k-pri.co.kr/,,,기린한의원,,,,,,,,,,,,,,,,,,,,
,20,포담원외탕전원,054-856-7942,https://www.podam.co.kr, 8567942@naver.com,054-852-7942,권도경한의원,,,,,,,,,,,,,,,,,,,,
,21,원재한의원 원외탕전,010-3336-2656 / 054-973-0700,www.beeplus.kr ,,054- 973-2580,원재한의원,,,,,,,,,,,,,,,,,,,,
,22,엘비제이원외탕전(구 예이재원외탕전),010-248-6611,https://lbj0414.shop/,"lbj250414@gmail.com
",055-608-6440,예이재한방병원,,,,,,,,,,,,,,,,,,,,
,23,귤림당 원외탕전원,010-4033-1084,www.sadok.co.kr,csh0651071@naver.com,,귤림당 한의원,2025 광고확인,O,,,,,,,,,,,,,,,,,,
,24,화인발효탕전실,010-6261-1934,www.nerve-ok.com ,5578288@hanmail.net,,경희벽산한의원,2025 광고확인,O,,,,,,,,,,,,,,,,,,
,25,아큐렉스(메디스트림),-,-,-,-,메디스트림한의원,2025 광고확인,O,,,,,,,,,,,,,,,,,,
,26,영업중인지 확인 필요,,,,,,,,,,,,,,,,,,,,,,,,,
,27,하늘마음한의원 원외탕전실,"032-516-7586
",,,,,2025 추가인듯?,,,,,,,,,,,,,,,,,,,
,28,인본 원외탕전,02-518-9494,http://www.inbonmedi.co.kr, inbonmedi@naver.com ,,바를정한방병원 의정부 본점 부설,24년도 리스트에 왜 없는지 의문,,,,,,,,,,,,,,,,,,,
,29,자연생탕전원,010-3470-8927,https://www.jys.or.kr/, jystj001@gmail.com,0303-3441-3141,"자연생한의원원장
",,O,,,,,,,,,,,,,,,,,,
,30,,,,,,,,O,,,,,,,,,,,,,,,,,,
,31,,,,,,,,,,,,,,,,,,,,,,,,,,
