,,ㄱㄴㄷ순,,,,,,,,,,,,,,,,,,,,,,,,,,
,번호,업체명,의료기관명,전화번호,홈페이지,이메일,팩스,참고사항,영업여부,공동이용 여부,인증 원외탕전실 여부,,,,,,,,,,,,,,,,,
,1,(의)인애가송파한방병원 원외탕전실,(의)인애가송파한방병원,070-8655-2266,http://www.inega.co.kr,-,0503-8379-3836,,,,,,,,,,,,,,,,,,,,,
,2,3s(박달나무)한의원 원외탕전실,박달나무한의원,010-8622-7650,https://한방리더.com/shop/ ,-,032-427-0334,,,,,,,,,,,,,,,,,,,,,
,3,가온자리원외탕전실,가온자리,02-6403-7114,http://jkmed.co.kr/tang/intro.php?mode=intro,-,02-6403-7116,,,,,,,,,,,,,,,,,,,,,
,4,강남선이고은한의원 원외탕전실,강남선이고은한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,5,강남세종한의부설 원외탕전실 우소한제원,강남세종한의원,031-791-7439,https://www.wooso.co.kr/,woosohanjewon@naver.com,031-791-7439,,,,,,,,,,,,,,,,,,,,,
,6,건보당한의원 원외탕전실,건보당한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,7,경희대학교 한방병원,경희대 한방병원,02-958-9134,https://www.khmchanyak.co.kr/, hanyak@khmc.or.kr,02-958-9104,,,,,,,,,,,,,,,,,,,,,
,8,경희자연한약국,경희자연,02-2203-7511,http://khhanyak.com/member/login_suhan.asp,kh_hanyak@naver.com,-,팩스로도 보내면 좋을듯?,,,,,,,,,,,,,,,,,,,,
,9,경희벽산한의원부설 화인발효탕전실,경희벽산한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,10,경희아이한의원 아이제형원외탕전실,경희아이한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,11,경희우리한의원 원외탕전실,경희우리한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,12,골인원외탕전,골인한의원,,https://www.gollin24.com/index.html,,,,,,,,,,,,,,,,,,,,,,,
,13,교감한의원부속 원외탕전실,교감한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,14,그린요양병원 원외탕전실,그린요양병원,,,,,,,,,,,,,,,,,,,,,,,,,
,15,금맥한의원 원외탕전실,금맥한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,16,기린한방병원 탕전실,길인의료재단 기린한방병원,,,,,,,,,,,,,,,,,,,,,,,,,
,17,기린한의원부설 원외탕전실(구리),기린한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,18,김석주한의원원외탕전실(올바른 원외탕전실),김석주한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,19,네오림한의원 원외탕전실,네오림한의원,010-5835-4451,https://neorim.co.kr/,neorim07@gmail.com,-,,,,,,,,,,,,,,,,,,,,,
,20,농림원외탕전원,밝은눈한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,21,누베베한의원 원외탕전실,누베베한의원,010-9570-0036,https://www.nubebeherb.com/promise.php ,nubebe_won@nubebe.com,,,,,,,,,,,,,,,,,,,,,,
,22,누베베한의원 원외탕전실,누베베한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,23,누보원외탕전,월곡소담한의원,02-960-1035,http://od.nuvohanmaru.com/nuvo4/,hanmaruherb@naver.com,,,,,,,,,,,,,,,,,,,,,,
,24,다린 탕전원,다린 공동탕전원,,https://xn--2j1by2k.com/gmd/index.do,,,,,,,,,,,,,,,,,,,,,,,
,25,다이트한의원 원외탕전실,다이트한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,26,닥터리프원외탕전실,폴리한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,27,더바른공동탕전실,공명한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,28,더한한의원 원외탕전실,더한한의원,1644-0072,https://the-han.co.kr/,thehantax@hanmail.net,,,,,,,,,,,,,,,,,,,,,,
,29,도솔한방병원 원외탕전실,도솔한방병원,,,,,,,,,,,,,,,,,,,,,,,,,
,30,도원아이한이원 원외탕전실,도원아이한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,31,동양허브 한의원 원외탕전실,동양허브 한의원,02-427-8255,https://dyherb.com,dyherb2@naver.com,02-926-8366,,,,,,,,,,,,,,,,,,,,,
,32,동양허브장생한의원 제기동2관 원외탕전실,동양허브장생한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,33,동의한방두앤목한의원 원외탕전실,동의한방두앤목한의원,010-7248-1075,www.원외탕전.com,9280210@naver.com,,,,,,,,,,,,,,,,,,,,,,
,34,동편부부한의원 원외탕전실,동편부부한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,35,따뜻할온원외탕전실,온빛한의원,,https://www.onhanyack.com ,,,,,,,,,,,,,,,,,,,,,,,
,36,로하셀한의원 원외탕전실,로하셀한의원,,,,,,,,,,,,,,,,,,,,,,,,,
,37,맑은샘한의원 원외탕전실 (해피원외탕전실),맑은샘한의원,010-4949-4383,https://hepymall.com/,,02-6008-3754,,,,,,,,,,,,,,,,,,,,,
